java;bedrock;id
minecraft:air;air;0
minecraft:stone;stone;0
minecraft:granite;stone;1
minecraft:polished_granite;stone;2
minecraft:diorite;stone;3
minecraft:polished_diorite;stone;4
minecraft:andesite;stone;5
minecraft:polished_andesite;stone;6
minecraft:grass_block;grass;0
minecraft:grass;tallgrass;0
minecraft:dirt;dirt;0
minecraft:coarse_dirt;dirt;1
minecraft:oak_planks;planks;0
minecraft:spruce_planks;planks;1
minecraft:birch_planks;planks;2
minecraft:jungle_planks;planks;3
minecraft:acacia_planks;planks;4
minecraft:dark_oak_planks;planks;5
minecraft:oak_log;log;0
minecraft:spruce_log;log;1
minecraft:birch_log;log;2
minecraft:jungle_log;log;3
minecraft:acacia_log;log2;4
minecraft:dark_oak_log;log2;5
minecraft:cobblestone;cobblestone;0
minecraft:white_stained_glass_pane;stained_glass_pane;0
minecraft:orange_stained_glass_pane;stained_glass_pane;1
minecraft:magenta_stained_glass_pane;stained_glass_pane;2
minecraft:light_blue_stained_glass_pane;stained_glass_pane;3
minecraft:yellow_stained_glass_pane;stained_glass_pane;4
minecraft:lime_stained_glass_pane;stained_glass_pane;5
minecraft:pink_stained_glass_pane;stained_glass_pane;6
minecraft:gray_stained_glass_pane;stained_glass_pane;7
minecraft:light_gray_stained_glass_pane;stained_glass_pane;8
minecraft:cyan_stained_glass_pane;stained_glass_pane;9
minecraft:purple_stained_glass_pane;stained_glass_pane;10
minecraft:blue_stained_glass_pane;stained_glass_pane;11
minecraft:brown_stained_glass_pane;stained_glass_pane;12
minecraft:green_stained_glass_pane;stained_glass_pane;13
minecraft:red_stained_glass_pane;stained_glass_pane;14
minecraft:black_stained_glass_pane;stained_glass_pane;15
minecraft:white_stained_glass;stained_glass;0
minecraft:orange_stained_glass;stained_glass;1
minecraft:magenta_stained_glass;stained_glass;2
minecraft:light_blue_stained_glass;stained_glass;3
minecraft:yellow_stained_glass;stained_glass;4
minecraft:lime_stained_glass;stained_glass;5
minecraft:pink_stained_glass;stained_glass;6
minecraft:gray_stained_glass;stained_glass;7
minecraft:light_gray_stained_glass;stained_glass;8
minecraft:cyan_stained_glass;stained_glass;9
minecraft:purple_stained_glass;stained_glass;10
minecraft:blue_stained_glass;stained_glass;11
minecraft:brown_stained_glass;stained_glass;12
minecraft:green_stained_glass;stained_glass;13
minecraft:red_stained_glass;stained_glass;14
minecraft:black_stained_glass;stained_glass;15
minecraft:white_carpet;carpet;0
minecraft:orange_carpet;carpet;1
minecraft:magenta_carpet;carpet;2
minecraft:light_blue_carpet;carpet;3
minecraft:yellow_carpet;carpet;4
minecraft:lime_carpet;carpet;5
minecraft:pink_carpet;carpet;6
minecraft:gray_carpet;carpet;7
minecraft:light_gray_carpet;carpet;8
minecraft:cyan_carpet;carpet;9
minecraft:purple_carpet;carpet;10
minecraft:blue_carpet;carpet;11
minecraft:brown_carpet;carpet;12
minecraft:green_carpet;carpet;13
minecraft:red_carpet;carpet;14
minecraft:black_carpet;carpet;15
minecraft:white_terracotta;stained_hardened_clay;0
minecraft:orange_terracotta;stained_hardened_clay;1
minecraft:magenta_terracotta;stained_hardened_clay;2
minecraft:light_blue_terracotta;stained_hardened_clay;3
minecraft:yellow_terracotta;stained_hardened_clay;4
minecraft:lime_terracotta;stained_hardened_clay;5
minecraft:pink_terracotta;stained_hardened_clay;6
minecraft:gray_terracotta;stained_hardened_clay;7
minecraft:light_gray_terracotta;stained_hardened_clay;8
minecraft:cyan_terracotta;stained_hardened_clay;9
minecraft:purple_terracotta;stained_hardened_clay;10
minecraft:blue_terracotta;stained_hardened_clay;11
minecraft:brown_terracotta;stained_hardened_clay;12
minecraft:green_terracotta;stained_hardened_clay;13
minecraft:red_terracotta;stained_hardened_clay;14
minecraft:black_terracotta;stained_hardened_clay;15
minecraft:white_concrete;concrete;0
minecraft:orange_concrete;concrete;1
minecraft:magenta_concrete;concrete;2
minecraft:light_blue_concrete;concrete;3
minecraft:yellow_concrete;concrete;4
minecraft:lime_concrete;concrete;5
minecraft:pink_concrete;concrete;6
minecraft:gray_concrete;concrete;7
minecraft:light_gray_concrete;concrete;8
minecraft:cyan_concrete;concrete;9
minecraft:purple_concrete;concrete;10
minecraft:blue_concrete;concrete;11
minecraft:brown_concrete;concrete;12
minecraft:green_concrete;concrete;13
minecraft:red_concrete;concrete;14
minecraft:black_concrete;concrete;15
minecraft:white_wool;wool;0
minecraft:orange_wool;wool;1
minecraft:magenta_wool;wool;2
minecraft:light_blue_wool;wool;3
minecraft:yellow_wool;wool;4
minecraft:lime_wool;wool;5
minecraft:pink_wool;wool;6
minecraft:gray_wool;wool;7
minecraft:light_gray_wool;wool;8
minecraft:cyan_wool;wool;9
minecraft:purple_wool;wool;10
minecraft:blue_wool;wool;11
minecraft:brown_wool;wool;12
minecraft:green_wool;wool;13
minecraft:red_wool;wool;14
minecraft:black_wool;wool;15
minecraft:light;light_block;-1
